altitude_km,temperature_K,pressure_Pa,density_kg_per_m3,mean_molar_mass_kg_per_mol,g_m_s2
0,288.15,1.013250e+05,1.224978e+00,0.028964,9.820224
10,223.15,2.643688e+04,4.127087e-01,0.028964,9.789469
20,216.65,5.475163e+03,8.803770e-02,0.028964,9.758858
30,226.65,1.171956e+03,1.801300e-02,0.028964,9.728390
40,251.05,2.775496e+02,3.851331e-03,0.028964,9.698065
50,270.65,7.595414e+01,9.776283e-04,0.028964,9.667881
60,245.45,2.031723e+01,2.883578e-04,0.028964,9.637838
70,217.45,4.635016e+00,7.425440e-05,0.028964,9.607935
80,196.65,8.864566e-01,1.570341e-05,0.028964,9.578170
86,184.65,3.023955e-01,5.705010e-06,0.028964,9.560378
100,207.44,5.947157e-02,9.612666e-07,0.027878,9.519055
110,223.72,1.384372e-02,2.017075e-07,0.027103,9.489703
120,240.00,3.724040e-03,4.913242e-08,0.026327,9.460486
130,272.50,1.179159e-03,1.329792e-08,0.025551,9.431403
140,305.00,4.394591e-04,4.293476e-09,0.024776,9.402455
150,337.50,1.864883e-04,1.594979e-09,0.024000,9.373640
160,370.00,8.913256e-05,6.490057e-10,0.022400,9.344957
170,402.50,4.758666e-05,2.957662e-10,0.020800,9.316405
180,435.00,2.788818e-05,1.480464e-10,0.019200,9.287984
190,467.50,1.769705e-05,8.013047e-11,0.017600,9.259693
200,500.00,1.202777e-05,4.629148e-11,0.016000,9.231531
210,525.00,8.559694e-06,3.029655e-11,0.015450,9.203497
220,550.00,6.265292e-06,2.041412e-11,0.014900,9.175591
230,575.00,4.704558e-06,1.412111e-11,0.014350,9.147811
240,600.00,3.615911e-06,1.000257e-11,0.013800,9.120158
250,625.00,2.839125e-06,7.239127e-12,0.013250,9.092629
260,650.00,2.273348e-06,5.342223e-12,0.012700,9.065226
270,675.00,1.853507e-06,4.012662e-12,0.012150,9.037945
280,700.00,1.536650e-06,3.062674e-12,0.011600,9.010788
290,725.00,1.293827e-06,2.371736e-12,0.011050,8.983753
300,750.00,1.105148e-06,1.860862e-12,0.010500,8.956840
310,775.00,9.567017e-07,1.477283e-12,0.009950,8.930047
320,800.00,8.386015e-07,1.185112e-12,0.009400,8.903374
330,825.00,7.437112e-07,9.595320e-13,0.008850,8.876821
340,850.00,6.668083e-07,7.831158e-13,0.008300,8.850386
350,875.00,6.040211e-07,6.434453e-13,0.007750,8.824069
360,900.00,5.524453e-07,5.315512e-13,0.007200,8.797869
370,925.00,5.098777e-07,4.408712e-13,0.006650,8.771786
380,950.00,4.746307e-07,3.665454e-13,0.006100,8.745819
390,975.00,4.453996e-07,3.049327e-13,0.005550,8.719967
400,1000.00,4.211680e-07,2.532743e-13,0.005000,8.694229
410,1000.00,3.998660e-07,2.376587e-13,0.004942,8.668605
420,1000.00,3.799302e-07,2.231444e-13,0.004883,8.643094
430,1000.00,3.612613e-07,2.096450e-13,0.004825,8.617696
440,1000.00,3.437681e-07,1.970816e-13,0.004767,8.592409
450,1000.00,3.273665e-07,1.853819e-13,0.004708,8.567233
460,1000.00,3.119793e-07,1.744795e-13,0.004650,8.542168
470,1000.00,2.975351e-07,1.643139e-13,0.004592,8.517213
480,1000.00,2.839684e-07,1.548294e-13,0.004533,8.492367
490,1000.00,2.712185e-07,1.459749e-13,0.004475,8.467630
500,1000.00,2.592293e-07,1.377034e-13,0.004417,8.443000
510,1000.00,2.479494e-07,1.299719e-13,0.004358,8.418478
520,1000.00,2.373308e-07,1.227406e-13,0.004300,8.394063
530,1000.00,2.273295e-07,1.159733e-13,0.004242,8.369753
540,1000.00,2.179044e-07,1.096363e-13,0.004183,8.345549
550,1000.00,2.090179e-07,1.036987e-13,0.004125,8.321450
560,1000.00,2.006348e-07,9.813200e-14,0.004067,8.297455
570,1000.00,1.927226e-07,9.290997e-14,0.004008,8.273564
580,1000.00,1.852512e-07,8.800838e-14,0.003950,8.249776
590,1000.00,1.781927e-07,8.340487e-14,0.003892,8.226090
600,1000.00,1.715210e-07,7.907875e-14,0.003833,8.202506
